P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,Class,TSNE.x,TSNE.y,TSNE.jaccard,MDS.x,MDS.y,MDS.jaccard,Isomap.x,Isomap.y,Isomap.jaccard,Spectral.x,Spectral.y,Spectral.jaccard
14.23,1.71,2.43,15.6,127,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065,1,0.0530,0.1920,0.125,-0.0761,0.0047,0.125,-0.0456,-0.0403,0.25,0.0732,-0.0286,0.375
13.2,1.78,2.14,11.2,100,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050,1,0.0315,-0.0144,0.125,-0.0719,0.0081,0.75,-0.0385,-0.0400,0.375,0.0782,-0.0282,0.125
13.16,2.36,2.67,18.6,101,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185,1,0.0498,0.0118,0.125,-0.1038,0.0126,0.75,-0.0790,-0.0281,0.5,0.0798,-0.0587,0.375
14.37,1.95,2.5,16.8,113,3.85,3.49,0.24,2.18,7.8,0.86,3.45,1480,1,0.0299,0.0503,0.125,-0.1713,0.0345,0.75,-0.1740,0.0427,1.0,0.0543,-0.0465,0.375
13.24,2.59,2.87,21.0,118,2.8,2.69,0.39,1.82,4.32,1.04,2.93,735,1,0.0126,-0.0362,0.125,0.0033,0.0039,0.75,0.0530,-0.0183,0.625,0.0142,0.0669,0.375
14.2,1.76,2.45,15.2,112,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450,1,0.0462,0.0190,0.125,-0.1648,0.0308,1.0,-0.1646,0.0332,1.0,0.0568,-0.0485,0.25
14.39,1.87,2.45,14.6,96,2.5,2.52,0.3,1.98,5.25,1.02,3.58,1290,1,0.0309,0.0148,0.125,-0.1281,0.0195,0.125,-0.1177,-0.0067,0.375,0.0858,-0.0719,0.125
14.06,2.15,2.61,17.6,121,2.6,2.51,0.31,1.25,5.05,1.06,3.58,1295,1,0.0593,0.0103,0.125,-0.1287,0.0233,0.25,-0.1164,-0.0070,0.125,0.0858,-0.0719,0.125
14.83,1.64,2.17,14.0,97,2.8,2.98,0.29,1.98,5.2,1.08,2.85,1045,1,0.0773,-0.0632,0.125,-0.0707,0.0081,1.0,-0.0367,-0.0403,1.0,0.0717,-0.0246,0.375
13.86,1.35,2.27,16.0,98,2.98,3.15,0.22,1.85,7.22,1.01,3.55,1045,1,0.0537,-0.0279,0.125,-0.0706,0.0087,0.625,-0.0370,-0.0401,1.0,0.0735,-0.0250,0.25
14.1,2.16,2.3,18.0,105,2.95,3.32,0.22,2.38,5.75,1.25,3.17,1510,1,0.0213,0.0108,0.125,-0.1780,0.0375,1.0,-0.1837,0.0529,0.75,0.0543,-0.0465,0.375
14.12,1.48,2.32,16.8,95,2.2,2.43,0.26,1.57,5.0,1.17,2.82,1280,1,0.0475,0.0470,0.125,-0.1255,0.0202,0.625,-0.1150,-0.0086,0.25,0.0929,-0.0773,0.125
13.75,1.73,2.41,16.0,89,2.6,2.76,0.29,1.81,5.6,1.15,2.9,1320,1,-0.0539,-0.1562,0.125,-0.1355,0.0185,0.375,-0.1272,0.0000,0.375,0.0835,-0.0703,0.25
14.75,1.73,2.39,11.4,91,3.1,3.69,0.43,2.81,5.4,1.25,2.73,1150,1,0.0165,0.0455,0.125,-0.0959,0.0089,0.75,-0.0709,-0.0318,0.75,0.0569,-0.0323,0.125
14.38,1.87,2.38,12.0,102,3.3,3.64,0.29,2.96,7.5,1.2,3.0,1547,1,-0.1987,0.0909,0.125,-0.1862,0.0413,1.0,-0.1957,0.0662,1.0,0.0518,-0.0443,0.25
13.63,1.81,2.7,17.2,112,2.85,2.91,0.3,1.46,7.3,1.28,2.88,1310,1,0.0137,0.0231,0.125,-0.1326,0.0217,0.5,-0.1218,-0.0034,0.375,0.0858,-0.0719,0.25
14.3,1.92,2.72,20.0,120,2.8,3.14,0.33,1.97,6.2,1.07,2.65,1280,1,-0.0261,0.0652,0.125,-0.1264,0.0154,0.5,-0.1117,-0.0101,0.25,0.0929,-0.0773,0.125
13.83,1.57,2.62,20.0,115,2.95,3.4,0.4,1.72,6.6,1.13,2.57,1130,1,0.0205,-0.0218,0.125,-0.0906,0.0126,0.75,-0.0623,-0.0344,1.0,0.0561,-0.0301,0.125
14.19,1.59,2.48,16.5,108,3.3,3.93,0.32,1.86,8.7,1.23,2.82,1680,1,0.0193,0.0184,0.125,-0.2149,0.0567,1.0,-0.2390,0.1208,1.0,0.0494,-0.0422,0.5
13.64,3.1,2.56,15.2,116,2.7,3.03,0.17,1.66,5.1,0.96,3.36,845,1,0.0025,-0.0256,0.125,-0.0230,0.0054,1.0,0.0224,-0.0334,0.5,0.0335,0.0450,0.5
14.06,1.63,2.28,16.0,126,3.0,3.17,0.24,2.1,5.65,1.09,3.71,780,1,-0.0018,-0.0301,0.125,-0.0072,0.0068,1.0,0.0412,-0.0249,0.25,0.0238,0.0616,0.25
12.93,3.8,2.65,18.6,102,2.41,2.41,0.25,1.98,4.5,1.03,3.52,770,1,0.0219,-0.0301,0.125,-0.0054,0.0010,1.0,0.0449,-0.0224,0.25,0.0199,0.0634,0.125
13.71,1.86,2.36,16.6,101,2.61,2.88,0.27,1.69,3.8,1.11,4.0,1035,1,0.0307,-0.0072,0.125,-0.0682,0.0088,0.75,-0.0340,-0.0405,0.75,0.0692,-0.0228,0.25
12.85,1.6,2.52,17.8,95,2.48,2.37,0.26,1.46,3.93,1.09,3.63,1015,1,0.0257,-0.0160,0.25,-0.0634,0.0082,0.375,-0.0283,-0.0410,0.5,0.0616,-0.0166,0.5
13.5,1.81,2.61,20.0,96,2.53,2.61,0.28,1.66,3.52,1.12,3.82,845,1,0.0288,-0.0622,0.125,-0.0235,0.0008,1.0,0.0200,-0.0351,0.375,0.0327,0.0431,0.25
13.05,2.05,3.22,25.0,124,2.63,2.68,0.47,1.92,3.58,1.13,3.2,830,1,0.0613,-0.0029,0.125,-0.0192,0.0068,1.0,0.0272,-0.0314,0.375,0.0302,0.0473,0.25
13.39,1.77,2.62,16.1,93,2.85,2.94,0.34,1.45,4.8,0.92,3.22,1195,1,0.0169,-0.0728,0.125,-0.1063,0.0118,0.375,-0.0826,-0.0269,0.25,0.0808,-0.0618,0.125
13.3,1.72,2.14,17.0,94,2.4,2.19,0.27,1.35,3.95,1.02,2.77,1285,1,0.0270,-0.0244,0.125,-0.1267,0.0204,0.5,-0.1165,-0.0076,0.125,0.0882,-0.0738,0.125
13.87,1.9,2.8,19.4,107,2.95,2.97,0.37,1.76,4.5,1.25,3.4,915,1,0.0311,0.0815,0.25,-0.0398,0.0048,1.0,0.0030,-0.0389,0.625,0.0404,0.0277,0.5
14.02,1.68,2.21,16.0,96,2.65,2.33,0.26,1.98,4.7,1.04,3.59,1035,1,0.0243,-0.0090,0.25,-0.0683,0.0079,0.75,-0.0340,-0.0405,1.0,0.0692,-0.0228,0.25
13.73,1.5,2.7,22.5,101,3.0,3.25,0.29,2.38,5.7,1.19,2.71,1285,1,0.0289,-0.0759,0.125,-0.1269,0.0192,0.375,-0.1162,-0.0078,0.375,0.0905,-0.0755,0.5
13.58,1.66,2.36,19.1,106,2.86,3.19,0.22,1.95,6.9,1.09,2.88,1515,1,0.0240,0.0162,0.125,-0.1794,0.0368,1.0,-0.1853,0.0546,0.75,0.0543,-0.0465,0.125
13.68,1.83,2.36,17.2,104,2.42,2.69,0.42,1.97,3.84,1.23,2.87,990,1,0.0026,-0.0183,0.125,-0.0575,0.0073,1.0,-0.0209,-0.0412,0.25,0.0548,-0.0087,0.375
13.76,1.53,2.7,19.5,132,2.95,2.74,0.5,1.35,5.4,1.25,3.0,1235,1,0.0706,0.0055,0.125,-0.1162,0.0115,0.25,-0.0977,-0.0187,0.5,0.0795,-0.0634,0.25
13.51,1.8,2.65,19.0,110,2.35,2.53,0.29,1.54,4.2,1.1,2.87,1095,1,0.0426,-0.0027,0.125,-0.0823,0.0113,0.5,-0.0520,-0.0373,0.25,0.0729,-0.0326,0.375
13.48,1.81,2.41,20.5,100,2.7,2.98,0.26,1.86,5.1,1.04,3.47,920,1,-0.0082,-0.0620,0.125,-0.0411,0.0043,0.75,0.0009,-0.0392,0.25,0.0383,0.0249,0.375
13.28,1.64,2.84,15.5,110,2.6,2.68,0.34,1.36,4.6,1.09,2.78,880,1,-0.0858,0.0807,0.125,-0.0316,0.0032,0.625,0.0123,-0.0366,0.25,0.0340,0.0376,0.25
13.05,1.65,2.55,18.0,98,2.45,2.43,0.29,1.44,4.25,1.12,2.51,1105,1,0.0199,-0.0005,0.25,-0.0849,0.0098,0.875,-0.0545,-0.0370,0.5,0.0673,-0.0317,0.25
13.07,1.5,2.1,15.5,98,2.4,2.64,0.28,1.37,3.7,1.18,2.69,1020,1,0.0385,0.0029,0.125,-0.0646,0.0083,0.375,-0.0296,-0.0409,0.625,0.0637,-0.0175,0.5
14.22,3.99,2.51,13.2,128,3.0,3.04,0.2,2.08,5.1,0.89,3.53,760,1,-0.0673,-0.0582,0.125,-0.0023,0.0070,0.75,0.0460,-0.0224,0.25,0.0165,0.0619,0.25
13.56,1.71,2.31,16.2,117,3.15,3.29,0.34,2.34,6.13,0.95,3.38,795,1,-0.0707,0.0031,0.125,-0.0110,0.0050,1.0,0.0371,-0.0268,0.375,0.0291,0.0629,0.125
13.41,3.84,2.12,18.8,90,2.45,2.68,0.27,1.48,4.28,0.91,3.0,1035,1,0.0030,0.0472,0.125,-0.0685,0.0062,0.75,-0.0338,-0.0408,0.75,0.0630,-0.0199,0.125
13.88,1.89,2.59,15.0,101,3.25,3.56,0.17,1.7,5.43,0.88,3.56,1095,1,0.0230,0.0049,0.25,-0.0826,0.0093,0.75,-0.0514,-0.0377,0.5,0.0729,-0.0326,0.25
13.24,3.98,2.29,17.5,103,2.64,2.63,0.32,1.66,4.36,0.82,3.0,680,1,-0.0042,-0.1093,0.125,0.0160,-0.0007,0.75,0.0716,-0.0034,0.25,0.0012,0.0821,0.25
13.05,1.77,2.1,17.0,107,3.0,3.0,0.28,2.03,5.04,0.88,3.35,885,1,0.0070,-0.0116,0.125,-0.0328,0.0032,0.75,0.0107,-0.0370,0.5,0.0356,0.0378,0.375
14.21,4.04,2.44,18.9,111,2.85,2.65,0.3,1.25,5.24,0.87,3.33,1080,1,0.0305,0.0021,0.25,-0.0789,0.0102,0.5,-0.0478,-0.0384,0.375,0.0716,-0.0290,0.25
14.38,3.59,2.28,16.0,102,3.25,3.17,0.27,2.19,4.9,1.04,3.44,1065,1,0.0446,-0.0227,0.125,-0.0754,0.0092,0.375,-0.0429,-0.0392,0.125,0.0733,-0.0287,0.25
13.9,1.68,2.12,16.0,101,3.1,3.39,0.21,2.14,6.1,0.91,3.33,985,1,0.0401,-0.0540,0.125,-0.0563,0.0076,0.75,-0.0201,-0.0413,0.25,0.0502,-0.0059,0.25
14.1,2.02,2.4,18.8,103,2.75,2.92,0.32,2.38,6.2,1.07,2.75,1060,1,0.0264,-0.0023,0.125,-0.0742,0.0090,0.75,-0.0415,-0.0395,0.25,0.0751,-0.0290,0.125
13.94,1.73,2.27,17.4,108,2.88,3.54,0.32,2.08,8.9,1.12,3.1,1260,1,-0.0717,-0.0470,0.125,-0.1209,0.0187,0.125,-0.1080,-0.0130,1.0,0.0778,-0.0637,0.125
13.05,1.73,2.04,12.4,92,2.72,3.27,0.17,2.91,7.2,1.12,2.91,1150,1,0.0427,-0.0273,0.125,-0.0958,0.0094,0.75,-0.0707,-0.0318,0.75,0.0593,-0.0343,0.25
13.83,1.65,2.6,17.2,94,2.45,2.99,0.22,2.29,5.6,1.24,3.37,1265,1,0.0257,0.0416,0.125,-0.1223,0.0178,0.5,-0.1118,-0.0110,0.25,0.0805,-0.0666,0.25
13.82,1.75,2.42,14.0,111,3.88,3.74,0.32,1.87,7.05,1.01,3.26,1190,1,0.0535,-0.0154,0.125,-0.1047,0.0149,0.875,-0.0827,-0.0264,0.375,0.0822,-0.0608,0.125
13.77,1.9,2.68,17.1,115,3.0,2.79,0.39,1.68,6.3,1.13,2.93,1375,1,0.0138,0.0144,0.125,-0.1474,0.0268,0.875,-0.1411,0.0118,0.5,0.0813,-0.0691,0.375
13.74,1.67,2.25,16.4,118,2.6,2.9,0.21,1.62,5.85,0.92,3.2,1060,1,0.0449,-0.0097,0.125,-0.0739,0.0117,0.125,-0.0436,-0.0399,0.375,0.0769,-0.0291,0.5
13.56,1.73,2.46,20.5,116,2.96,2.78,0.2,2.45,6.25,0.98,3.03,1120,1,-0.0123,0.0333,0.125,-0.0882,0.0126,1.0,-0.0595,-0.0353,1.0,0.0640,-0.0323,0.125
14.22,1.7,2.3,16.3,118,3.2,3.0,0.26,2.03,6.38,0.94,3.31,970,1,0.0362,0.0373,0.125,-0.0528,0.0069,0.625,-0.0140,-0.0410,0.125,0.0454,0.0050,0.25
13.29,1.97,2.68,16.8,102,3.0,3.23,0.31,1.66,6.0,1.07,2.84,1270,1,0.0348,-0.0234,0.125,-0.1233,0.0189,0.75,-0.1113,-0.0109,0.375,0.0929,-0.0773,0.25
13.72,1.43,2.5,16.7,108,3.4,3.67,0.19,2.04,6.8,0.89,2.87,1285,1,0.0416,0.0239,0.125,-0.1271,0.0179,0.5,-0.1156,-0.0079,0.25,0.0905,-0.0755,0.5
12.37,0.94,1.36,10.6,88,1.98,0.57,0.28,0.42,1.95,1.05,1.82,520,2,0.0005,0.0071,0.125,0.0534,-0.0090,0.125,-0.0139,0.0172,0.125,-0.0488,-0.0023,0.125
12.33,1.1,2.28,16.0,101,2.05,1.09,0.63,0.41,3.27,1.25,1.67,680,2,0.0190,0.0381,0.125,0.0159,-0.0012,0.5,0.0704,-0.0042,0.25,0.0012,0.0821,0.5
12.64,1.36,2.02,16.8,100,2.02,1.41,0.53,0.62,5.75,0.98,1.59,450,2,-0.0149,0.0254,0.125,0.0697,-0.0123,0.5,-0.0142,0.0198,0.25,-0.0590,-0.0379,0.375
13.67,1.25,1.92,18.0,94,2.1,1.79,0.32,0.73,3.8,1.23,2.46,630,2,-0.0229,-0.0091,0.125,0.0276,-0.0042,0.75,0.0873,0.0117,0.125,-0.0149,0.0691,0.25
12.37,1.13,2.16,19.0,87,3.5,3.1,0.19,1.87,4.45,1.22,2.87,420,2,-0.0268,0.0114,0.125,0.0771,-0.0120,1.0,-0.0142,0.0198,0.25,-0.0676,-0.0567,0.25
12.17,1.45,2.53,19.0,104,1.89,1.75,0.45,1.03,2.95,1.45,2.23,355,2,-0.0376,0.0191,0.125,0.0914,-0.0193,0.5,-0.0139,0.0165,0.25,-0.0690,-0.0675,0.125
12.37,1.21,2.56,18.1,98,2.42,2.65,0.37,2.08,4.6,1.19,2.3,678,2,-0.1116,-0.0127,0.125,0.0163,-0.0021,0.5,0.0707,-0.0040,0.5,-0.0004,0.0819,0.25
13.11,1.01,1.7,15.0,78,2.98,3.18,0.26,2.28,5.3,1.12,3.18,502,2,-0.0330,0.0474,0.125,0.0584,-0.0053,0.625,-0.0140,0.0182,0.125,-0.0547,-0.0102,0.25
12.37,1.17,1.92,19.6,78,2.11,2.0,0.27,1.04,4.68,1.12,3.48,510,2,0.0037,0.0183,0.125,0.0565,-0.0052,0.625,-0.0140,0.0179,0.125,-0.0508,-0.0075,0.25
13.34,0.94,2.36,17.0,110,2.53,1.3,0.55,0.42,3.17,1.02,1.93,750,2,-0.0907,0.0325,0.125,-0.0004,0.0027,1.0,0.0503,-0.0194,0.375,0.0143,0.0617,0.25
12.21,1.19,1.75,16.8,151,1.85,1.28,0.14,2.5,2.85,1.28,3.07,718,2,-0.0222,-0.0181,0.125,0.0083,0.0113,0.875,0.0582,-0.0143,0.125,0.0067,0.0448,0.25
12.29,1.61,2.21,20.4,103,1.1,1.02,0.37,1.46,3.05,0.906,1.82,870,2,0.0484,0.0313,0.125,-0.0292,0.0029,1.0,0.0146,-0.0360,1.0,0.0332,0.0392,0.25
13.86,1.51,2.67,25.0,86,2.95,2.86,0.21,1.87,3.38,1.36,3.16,410,2,-0.0027,0.0165,0.125,0.0795,-0.0124,0.75,-0.0142,0.0195,0.125,-0.0689,-0.0614,0.375
13.49,1.66,2.24,24.0,87,1.88,1.84,0.27,1.03,3.74,0.98,2.78,472,2,-0.0452,0.0045,0.125,0.0649,-0.0096,0.75,-0.0142,0.0195,0.125,-0.0536,-0.0251,0.375
12.99,1.67,2.6,30.0,139,3.3,2.89,0.21,1.96,3.35,1.31,3.5,985,2,0.0465,0.0029,0.125,-0.0574,-0.0002,0.125,-0.0181,-0.0433,0.25,0.0423,-0.0034,0.5
11.96,1.09,2.3,21.0,101,3.38,2.14,0.13,1.65,3.21,0.99,3.13,886,2,0.0143,-0.1498,0.125,-0.0330,0.0040,0.75,0.0101,-0.0373,0.75,0.0356,0.0378,0.375
11.66,1.88,1.92,16.0,97,1.61,1.57,0.34,1.15,3.8,1.23,2.14,428,2,-0.0118,0.0169,0.125,0.0748,-0.0136,0.875,-0.0142,0.0197,0.125,-0.0625,-0.0498,0.125
13.03,0.9,1.71,16.0,86,1.95,2.03,0.24,1.46,4.6,1.19,2.48,392,2,-0.0627,-0.0036,0.125,0.0837,-0.0132,0.75,-0.0141,0.0191,0.125,-0.0871,-0.0814,0.375
11.84,2.89,2.23,18.0,112,1.72,1.32,0.43,0.95,2.65,0.96,2.52,500,2,-0.0204,-0.0467,0.125,0.0574,-0.0132,0.875,-0.0140,0.0183,0.125,-0.0476,-0.0073,0.25
12.33,0.99,1.95,14.8,136,1.9,1.85,0.35,2.76,3.4,1.06,2.31,750,2,0.0002,-0.2375,0.125,0.0003,0.0086,1.0,0.0487,-0.0210,0.125,0.0136,0.0572,0.125
12.7,3.87,2.4,23.0,101,2.83,2.55,0.43,1.95,2.57,1.19,3.13,463,2,-0.0230,-0.0654,0.125,0.0665,-0.0124,0.75,-0.0142,0.0197,0.125,-0.0594,-0.0340,0.25
12.0,0.92,2.0,19.0,86,2.42,2.26,0.3,1.43,2.5,1.38,3.12,278,2,-0.0376,0.0328,0.125,0.1097,-0.0218,1.0,-0.0132,0.0107,0.75,-0.0454,-0.0448,0.375
12.72,1.81,2.2,18.8,86,2.2,2.53,0.26,1.77,3.9,1.16,3.14,714,2,-0.0231,-0.0259,0.125,0.0074,-0.0041,1.0,0.0611,-0.0117,0.125,0.0081,0.0683,0.25
12.08,1.13,2.51,24.0,78,2.0,1.58,0.4,1.4,2.2,1.31,2.72,630,2,0.0124,0.0934,0.125,0.0270,-0.0083,0.5,0.0915,0.0159,0.125,-0.0135,0.0582,0.125
13.05,3.86,2.32,22.5,85,1.65,1.59,0.61,1.62,4.8,0.84,2.01,515,2,-0.1059,0.0156,0.125,0.0551,-0.0065,0.625,-0.0139,0.0176,0.375,-0.0518,-0.0061,0.25
11.84,0.89,2.58,18.0,94,2.2,2.21,0.22,2.35,3.05,0.79,3.08,520,2,-0.0157,0.0835,0.125,0.0535,-0.0079,0.375,-0.0139,0.0173,0.5,-0.0537,0.0001,0.5
12.67,0.98,2.24,18.0,99,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450,2,-0.0189,0.0191,0.125,0.0696,-0.0126,0.5,-0.0142,0.0198,0.125,-0.0590,-0.0379,0.375
12.16,1.61,2.31,22.8,90,1.78,1.69,0.43,1.56,2.45,1.33,2.26,495,2,0.0647,0.0725,0.125,0.0595,-0.0087,0.75,-0.0141,0.0187,0.125,-0.0656,-0.0154,0.25
11.65,1.67,2.62,26.0,88,1.92,1.61,0.4,1.34,2.6,1.36,3.21,562,2,-0.0282,0.0050,0.125,0.0438,-0.0056,0.375,0.1058,0.0328,0.25,-0.0288,0.0266,0.375
