P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,Class,TSNE.x,TSNE.y,TSNE.jaccard,MDS.x,MDS.y,MDS.jaccard,Isomap.x,Isomap.y,Isomap.jaccard,Spectral.x,Spectral.y,Spectral.jaccard
11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1.0,2.75,680,2,-0.0700,-0.0398,0.125,0.0154,-0.0055,0.75,0.0718,-0.0030,0.25,0.0002,0.0819,0.125
12.08,1.33,2.3,23.6,70,2.2,1.59,0.42,1.38,1.74,1.07,3.21,625,2,-0.0719,0.2169,0.125,0.0280,-0.0103,1.0,0.0934,0.0180,0.125,-0.0119,0.0471,0.125
12.08,1.83,2.32,18.5,81,1.6,1.5,0.52,1.64,2.4,1.08,2.27,480,2,-0.0305,0.0193,0.125,0.0634,-0.0076,0.75,-0.0141,0.0191,0.125,-0.0575,-0.0231,0.25
12.0,1.51,2.42,22.0,86,1.45,1.25,0.5,1.63,3.6,1.05,2.65,450,2,-0.0561,-0.0256,0.125,0.0702,-0.0100,0.5,-0.0142,0.0199,0.125,-0.0635,-0.0426,0.125
12.69,1.53,2.26,20.7,80,1.38,1.46,0.58,1.62,3.05,0.96,2.06,495,2,0.0884,0.0252,0.125,0.0599,-0.0065,0.75,-0.0141,0.0187,0.25,-0.0605,-0.0138,0.5
12.29,2.83,2.22,18.0,88,2.45,2.25,0.25,1.99,2.15,1.15,3.3,290,2,-0.0223,0.0362,0.125,0.1072,-0.0195,1.0,-0.0134,0.0120,0.75,-0.0498,-0.0491,0.125
11.62,1.99,2.28,18.0,98,3.02,2.26,0.17,1.35,3.25,1.16,2.96,345,2,-0.0271,0.0255,0.125,0.0941,-0.0182,0.125,-0.0138,0.0161,0.25,-0.0670,-0.0657,0.25
12.47,1.52,2.2,19.0,162,2.5,2.27,0.32,3.28,2.6,1.16,2.63,937,2,0.0513,-0.0089,0.125,-0.0435,0.0187,0.125,-0.0044,-0.0424,0.125,0.0360,0.0188,0.125
11.81,2.12,2.74,21.5,134,1.6,0.99,0.14,1.56,2.5,0.95,2.26,625,2,-0.0153,-0.0331,0.125,0.0299,0.0048,0.75,0.0922,0.0167,0.125,-0.0105,0.0411,0.125
12.29,1.41,1.98,16.0,85,2.55,2.5,0.29,1.77,2.9,1.23,2.74,428,2,-0.0130,0.0519,0.125,0.0754,-0.0109,1.0,-0.0142,0.0198,0.25,-0.0606,-0.0487,0.25
12.37,1.07,2.1,18.5,88,3.52,3.75,0.24,1.95,4.5,1.04,2.77,660,2,-0.0119,-0.0553,0.375,0.0202,-0.0051,0.875,0.0767,0.0014,0.25,-0.0053,0.0820,0.125
12.29,3.17,2.21,18.0,88,2.85,2.99,0.45,2.81,2.3,1.42,2.83,406,2,-0.0163,0.0050,0.125,0.0802,-0.0135,1.0,-0.0142,0.0195,0.25,-0.0776,-0.0699,0.125
12.08,2.08,1.7,17.5,97,2.23,2.17,0.26,1.4,3.3,1.27,2.96,710,2,-0.0413,-0.0071,0.125,0.0087,-0.0015,1.0,0.0619,-0.0110,0.375,0.0081,0.0803,0.125
12.6,1.34,1.9,18.5,88,1.45,1.36,0.29,1.35,2.45,1.04,2.77,562,2,-0.0093,-0.0183,0.125,0.0437,-0.0061,0.125,0.1055,0.0324,0.25,-0.0296,0.0282,0.25
12.34,2.45,2.46,21.0,98,2.56,2.11,0.34,1.31,2.8,0.8,3.38,438,2,-0.0601,-0.0149,0.125,0.0724,-0.0131,0.75,-0.0142,0.0198,0.25,-0.0674,-0.0506,0.25
11.82,1.72,1.88,19.5,86,2.5,1.64,0.37,1.42,2.06,0.94,2.44,415,2,-0.0109,0.0088,0.125,0.0783,-0.0122,0.75,-0.0142,0.0197,0.125,-0.0685,-0.0599,0.25
12.51,1.73,1.98,20.5,85,2.2,1.92,0.32,1.48,2.94,1.04,3.57,672,2,-0.0022,-0.0771,0.25,0.0173,-0.0054,0.625,0.0734,-0.0016,0.125,-0.0012,0.0749,0.25
12.42,2.55,2.27,22.0,90,1.68,1.84,0.66,1.42,2.7,0.86,3.3,315,2,0.1551,-0.0474,0.125,0.1011,-0.0194,0.875,-0.0136,0.0143,0.375,-0.0563,-0.0555,0.125
12.25,1.73,2.12,19.0,80,1.65,2.03,0.37,1.63,3.4,1.0,3.17,510,2,0.0662,-0.0837,0.125,0.0565,-0.0056,0.5,-0.0140,0.0180,0.125,-0.0522,-0.0073,0.25
12.72,1.75,2.28,22.5,84,1.38,1.76,0.48,1.63,3.3,0.88,2.42,488,2,-0.0103,-0.0014,0.125,0.0614,-0.0078,0.5,-0.0141,0.0190,0.25,-0.0591,-0.0187,0.375
12.22,1.29,1.94,19.0,92,2.36,2.04,0.39,2.08,2.7,0.86,3.02,312,2,-0.0615,0.0854,0.125,0.1017,-0.0200,1.0,-0.0136,0.0140,0.5,-0.0541,-0.0534,0.5
11.61,1.35,2.7,20.0,94,2.74,2.92,0.29,2.49,2.65,0.96,3.26,680,2,0.0139,-0.0730,0.125,0.0157,-0.0031,0.375,0.0702,-0.0043,0.125,0.0004,0.0843,0.125
11.46,3.74,1.82,19.5,107,3.18,2.58,0.24,3.58,2.9,0.75,2.81,562,2,-0.0204,-0.0011,0.125,0.0440,-0.0034,0.25,0.1049,0.0317,0.125,-0.0309,0.0286,0.125
12.52,2.43,2.17,21.0,88,2.55,2.27,0.26,1.22,2.0,0.9,2.78,325,2,-0.0210,0.0291,0.125,0.0989,-0.0186,0.75,-0.0137,0.0151,0.25,-0.0563,-0.0555,0.375
11.76,2.68,2.92,20.0,103,1.75,2.03,0.6,1.05,3.8,1.23,2.5,607,2,0.0498,0.0666,0.125,0.0333,-0.0029,1.0,0.0930,0.0178,0.375,-0.0207,0.0589,0.25
11.41,0.74,2.5,21.0,88,2.48,2.01,0.42,1.44,3.08,1.1,2.31,434,2,-0.0394,0.0953,0.125,0.0738,-0.0113,0.875,-0.0142,0.0199,0.25,-0.0619,-0.0478,0.25
12.08,1.39,2.5,22.5,84,2.56,2.29,0.43,1.04,2.9,0.93,3.19,385,2,-0.0202,0.0446,0.125,0.0852,-0.0143,0.75,-0.0141,0.0187,0.125,-0.0812,-0.0774,0.625
11.03,1.51,2.2,21.5,85,2.46,2.17,0.52,2.01,1.9,1.71,2.87,407,2,-0.0381,0.0393,0.125,0.0802,-0.0125,0.75,-0.0142,0.0195,0.25,-0.0733,-0.0657,0.125
11.82,1.47,1.99,20.8,86,1.98,1.6,0.3,1.53,1.95,0.95,3.33,495,2,-0.0012,0.0328,0.125,0.0597,-0.0078,0.75,-0.0141,0.0187,0.125,-0.0639,-0.0151,0.5
12.42,1.61,2.19,22.5,108,2.0,2.09,0.34,1.61,2.06,1.06,2.96,345,2,-0.0090,0.0407,0.125,0.0935,-0.0208,0.25,-0.0138,0.0160,0.25,-0.0605,-0.0595,0.125
12.77,3.43,1.98,16.0,80,1.63,1.25,0.43,0.83,3.4,0.7,2.12,372,2,-0.0006,0.0253,0.125,0.0880,-0.0161,0.5,-0.0140,0.0182,0.125,-0.0751,-0.0723,0.25
12.0,3.43,2.0,19.0,87,2.0,1.64,0.37,1.87,1.28,0.93,3.05,564,2,0.0446,-0.0393,0.125,0.0432,-0.0064,0.25,0.1051,0.0319,0.25,-0.0296,0.0282,0.25
11.45,2.4,2.42,20.0,96,2.9,2.79,0.32,1.83,3.25,0.8,3.39,625,2,0.0523,-0.2080,0.125,0.0288,-0.0038,0.375,0.0882,0.0126,0.125,-0.0165,0.0623,0.125
11.56,2.05,3.23,28.5,119,3.18,5.08,0.47,1.87,6.0,0.93,3.69,465,2,-0.0480,0.0132,0.125,0.0674,-0.0047,0.125,-0.0141,0.0191,0.25,-0.0474,-0.0249,0.25
12.42,4.43,2.73,26.5,102,2.2,2.13,0.43,1.71,2.08,0.92,3.12,365,2,-0.0439,0.0307,0.125,0.0901,-0.0140,0.125,-0.0140,0.0173,0.125,-0.0690,-0.0672,0.25
13.05,5.8,2.13,21.5,86,2.62,2.65,0.3,2.01,2.6,0.73,3.1,380,2,-0.0375,0.0116,0.125,0.0864,-0.0140,1.0,-0.0141,0.0185,0.125,-0.0812,-0.0774,0.125
11.87,4.31,2.39,21.0,82,2.86,3.03,0.21,2.91,2.8,0.75,3.64,380,2,-0.0308,0.0381,0.25,0.0863,-0.0148,1.0,-0.0141,0.0185,0.125,-0.0792,-0.0757,0.625
12.07,2.16,2.17,21.0,85,2.6,2.65,0.37,1.35,2.76,0.86,3.28,378,2,-0.0272,0.0324,0.25,0.0868,-0.0144,0.75,-0.0141,0.0185,0.375,-0.0793,-0.0760,0.375
12.43,1.53,2.29,21.5,86,2.74,3.15,0.39,1.77,3.94,0.69,2.84,352,2,-0.0405,-0.0578,0.125,0.0929,-0.0157,0.75,-0.0139,0.0170,0.125,-0.0690,-0.0675,0.125
11.79,2.13,2.78,28.5,92,2.13,2.24,0.58,1.76,3.0,0.97,2.44,466,2,-0.0388,0.0588,0.125,0.0662,-0.0107,0.75,-0.0142,0.0197,0.125,-0.0570,-0.0312,0.25
12.37,1.63,2.3,24.5,88,2.22,2.45,0.4,1.9,2.12,0.89,2.78,342,2,-0.0155,0.0402,0.125,0.0952,-0.0166,0.75,-0.0138,0.0163,0.25,-0.0670,-0.0659,0.125
12.04,4.3,2.38,22.0,80,2.1,1.75,0.42,1.35,2.6,0.79,2.57,580,2,-0.0324,-0.0355,0.125,0.0390,-0.0087,0.375,0.1032,0.0295,0.125,-0.0278,0.0378,0.25
12.86,1.35,2.32,18.0,122,1.51,1.25,0.21,0.94,4.1,0.76,1.29,630,3,0.0179,-0.0331,0.125,0.0284,0.0022,1.0,0.0889,0.0131,0.125,-0.0127,0.0515,0.125
12.88,2.99,2.4,20.0,104,1.3,1.22,0.24,0.83,5.4,0.74,1.42,530,3,0.0320,0.0277,0.125,0.0507,-0.0096,0.25,-0.0138,0.0165,0.25,-0.0496,0.0101,0.375
12.81,2.31,2.4,24.0,98,1.15,1.09,0.27,0.83,5.7,0.66,1.36,560,3,-0.0292,-0.0503,0.125,0.0440,-0.0071,0.375,0.1058,0.0327,0.125,-0.0302,0.0270,0.125
12.7,3.55,2.36,21.5,106,1.7,1.2,0.17,0.84,5.0,0.78,1.29,600,3,0.0039,0.0556,0.125,0.0350,-0.0025,0.75,0.0950,0.0200,0.125,-0.0256,0.0590,0.125
12.51,1.24,2.25,17.5,85,2.0,0.58,0.6,1.25,5.45,0.75,1.51,650,3,-0.0013,-0.0494,0.125,0.0225,-0.0059,0.75,0.0795,0.0039,0.375,-0.0104,0.0781,0.125
12.6,2.46,2.2,18.5,94,1.62,0.66,0.63,0.94,7.1,0.73,1.58,695,3,0.0116,-0.0059,0.125,0.0122,-0.0025,0.5,0.0661,-0.0078,0.125,0.0049,0.0839,0.25
12.25,4.72,2.54,21.0,89,1.38,0.47,0.53,0.8,3.85,0.75,1.27,720,3,-0.0300,-0.0143,0.125,0.0061,-0.0033,0.75,0.0593,-0.0129,0.375,0.0099,0.0697,0.375
12.53,5.51,2.64,25.0,96,1.79,0.6,0.63,1.1,5.0,0.82,1.69,515,3,-0.0152,-0.0241,0.125,0.0546,-0.0090,0.5,-0.0139,0.0175,0.125,-0.0530,-0.0054,0.125
13.49,3.59,2.19,19.5,88,1.62,0.48,0.58,0.88,5.7,0.81,1.82,580,3,0.0779,-0.0131,0.125,0.0393,-0.0067,0.25,0.1009,0.0268,0.25,-0.0291,0.0384,0.375
12.84,2.96,2.61,24.0,101,2.32,0.6,0.53,0.81,4.92,0.89,2.15,590,3,-0.1370,-0.0471,0.125,0.0372,-0.0039,0.875,0.0974,0.0228,0.25,-0.0271,0.0451,0.125
12.93,2.81,2.7,21.0,96,1.54,0.5,0.53,0.75,4.6,0.77,2.31,600,3,-0.0088,0.0099,0.125,0.0347,-0.0047,0.875,0.0956,0.0206,0.25,-0.0277,0.0610,0.375
13.36,2.56,2.35,20.0,89,1.4,0.5,0.37,0.64,5.6,0.7,2.47,780,3,0.0006,0.0678,0.125,-0.0082,-0.0019,0.75,0.0447,-0.0230,0.375,0.0242,0.0637,0.125
13.52,3.17,2.72,23.5,97,1.55,0.52,0.5,0.55,4.35,0.89,2.06,520,3,0.0057,0.0009,0.125,0.0534,-0.0085,0.5,-0.0139,0.0173,0.25,-0.0505,0.0008,0.375
13.62,4.95,2.35,20.0,92,2.0,0.8,0.47,1.02,4.4,0.91,2.05,550,3,-0.0918,0.0418,0.125,0.0466,-0.0063,0.75,0.1088,0.0366,0.125,-0.0388,0.0213,0.125
12.25,3.88,2.2,18.5,112,1.38,0.78,0.29,1.14,8.21,0.65,2.0,855,3,0.0049,-0.0413,0.125,-0.0254,0.0047,0.75,0.0193,-0.0344,0.125,0.0325,0.0403,0.125
13.16,3.57,2.15,21.0,102,1.5,0.55,0.43,1.3,4.0,0.6,1.68,830,3,0.1139,0.1379,0.125,-0.0198,0.0018,0.75,0.0246,-0.0334,0.375,0.0302,0.0473,0.375
13.88,5.04,2.23,20.0,80,0.98,0.34,0.4,0.68,4.9,0.58,1.33,415,3,-0.0877,0.2070,0.125,0.0786,-0.0105,0.5,-0.0142,0.0195,0.25,-0.0685,-0.0599,0.25
12.87,4.61,2.48,21.5,86,1.7,0.65,0.47,0.86,7.65,0.54,1.86,625,3,0.1817,0.0939,0.125,0.0285,-0.0063,0.625,0.0902,0.0146,0.25,-0.0158,0.0631,0.25
13.32,3.24,2.38,21.5,92,1.93,0.76,0.45,1.25,8.42,0.55,1.62,650,3,0.1116,-0.0748,0.25,0.0228,-0.0041,1.0,0.0799,0.0044,0.5,-0.0104,0.0876,0.25
13.08,3.9,2.36,21.5,113,1.41,1.39,0.34,1.14,9.4,0.57,1.33,550,3,-0.0019,-0.0009,0.125,0.0457,-0.0105,0.25,0.1078,0.0353,0.125,-0.0320,0.0198,0.125
13.5,3.12,2.62,24.0,123,1.4,1.57,0.22,1.25,8.6,0.59,1.3,500,3,0.0224,0.0271,0.125,0.0568,-0.0158,0.625,-0.0140,0.0181,0.125,-0.0308,-0.0063,0.25
12.79,2.67,2.48,22.0,112,1.48,1.36,0.24,1.26,10.8,0.48,1.47,480,3,-0.0715,0.0172,0.125,0.0620,-0.0142,0.375,-0.0141,0.0190,0.125,-0.0493,-0.0211,0.25
13.11,1.9,2.75,25.5,116,2.2,1.28,0.26,1.56,7.1,0.61,1.33,425,3,0.0119,0.0301,0.125,0.0745,-0.0183,0.375,-0.0141,0.0192,0.125,-0.0584,-0.0463,0.25
13.23,3.3,2.28,18.5,98,1.8,0.83,0.61,1.87,10.52,0.56,1.51,675,3,0.0174,-0.0133,0.125,0.0170,-0.0020,0.375,0.0726,-0.0024,0.125,-0.0007,0.0796,0.25
12.58,1.29,2.1,20.0,103,1.48,0.58,0.53,1.4,7.6,0.58,1.55,640,3,0.0519,-0.0435,0.125,0.0255,-0.0019,0.625,0.0838,0.0081,0.375,-0.0136,0.0681,0.375
13.17,5.19,2.32,22.0,93,1.74,0.63,0.61,1.55,7.9,0.6,1.48,725,3,-0.0448,-0.0406,0.125,0.0050,-0.0022,1.0,0.0574,-0.0143,0.25,0.0112,0.0713,0.75
13.84,4.12,2.38,19.5,89,1.8,0.83,0.48,1.56,9.01,0.57,1.64,480,3,-0.0079,0.0232,0.125,0.0630,-0.0095,0.25,-0.0141,0.0192,0.125,-0.0592,-0.0235,0.25
12.45,3.03,2.64,27.0,97,1.9,0.58,0.63,1.14,7.5,0.67,1.73,880,3,-0.0019,0.0818,0.25,-0.0314,0.0052,0.625,0.0117,-0.0369,0.5,0.0340,0.0376,0.375
14.34,1.68,2.7,25.0,98,2.8,1.31,0.53,2.7,13.0,0.57,1.96,660,3,-0.0084,-0.0404,0.125,0.0207,-0.0020,0.625,0.0768,0.0015,0.125,-0.0051,0.0844,0.125
13.48,1.67,2.64,22.5,89,2.6,1.1,0.52,2.29,11.75,0.57,1.78,620,3,-0.0329,-0.0217,0.125,0.0298,-0.0059,1.0,0.0910,0.0155,0.25,-0.0183,0.0649,0.375
12.36,3.83,2.38,21.0,88,2.3,0.92,0.5,1.04,7.65,0.56,1.58,520,3,-0.0157,-0.0091,0.125,0.0538,-0.0067,0.375,-0.0139,0.0173,0.125,-0.0565,0.0007,0.5
13.69,3.26,2.54,20.0,107,1.83,0.56,0.5,0.8,5.88,0.96,1.82,680,3,-0.0520,-0.0068,0.125,0.0161,0.0003,0.75,0.0718,-0.0032,0.25,0.0006,0.0775,0.25
12.85,3.27,2.58,22.0,106,1.65,0.6,0.6,0.96,5.58,0.87,2.11,570,3,0.0271,0.0579,0.125,0.0421,-0.0035,0.25,0.1025,0.0288,0.125,-0.0293,0.0350,0.25
12.96,3.45,2.35,18.5,106,1.39,0.7,0.4,0.94,5.28,0.68,1.75,675,3,-0.0444,-0.0196,0.125,0.0173,-0.0001,0.75,0.0724,-0.0027,0.125,-0.0008,0.0794,0.125
13.78,2.76,2.3,22.0,90,1.35,0.68,0.41,1.03,9.58,0.7,1.68,615,3,-0.0349,-0.0012,0.125,0.0310,-0.0057,0.75,0.0916,0.0163,0.25,-0.0194,0.0607,0.25
13.73,4.36,2.26,22.5,88,1.28,0.47,0.52,1.15,6.62,0.78,1.75,520,3,-0.0760,0.0572,0.125,0.0538,-0.0066,0.375,-0.0139,0.0173,0.125,-0.0554,-0.0003,0.5
13.45,3.7,2.6,23.0,111,1.7,0.92,0.43,1.46,10.68,0.85,1.56,695,3,-0.0263,-0.0321,0.125,0.0127,0.0016,0.75,0.0675,-0.0069,0.25,0.0064,0.0904,0.375
12.82,3.37,2.3,19.5,88,1.48,0.66,0.4,0.97,10.26,0.72,1.75,685,3,-0.0467,-0.0324,0.125,0.0143,-0.0043,0.625,0.0691,-0.0053,0.125,0.0019,0.0821,0.25
13.58,2.58,2.69,24.5,105,1.55,0.84,0.39,1.54,8.66,0.74,1.8,750,3,0.0070,-0.0349,0.125,-0.0007,0.0010,0.75,0.0505,-0.0191,0.5,0.0142,0.0618,0.125
13.4,4.6,2.86,25.0,112,1.98,0.96,0.27,1.11,8.5,0.67,1.92,630,3,-0.0027,-0.0108,0.125,0.0281,-0.0001,0.75,0.0873,0.0116,0.25,-0.0147,0.0594,0.25
12.2,3.03,2.32,19.0,96,1.25,0.49,0.4,0.73,5.5,0.66,1.83,510,3,0.0056,0.0107,0.125,0.0557,-0.0091,0.375,-0.0140,0.0179,0.25,-0.0570,-0.0082,0.25
12.77,2.39,2.28,19.5,86,1.39,0.51,0.48,0.64,9.9,0.57,1.63,470,3,0.0069,0.0391,0.125,0.0655,-0.0090,0.625,-0.0141,0.0193,0.125,-0.0559,-0.0277,0.5
14.16,2.51,2.48,20.0,91,1.68,0.7,0.44,1.24,9.7,0.62,1.71,660,3,0.0370,-0.0822,0.125,0.0204,-0.0040,1.0,0.0773,0.0020,0.375,-0.0066,0.0903,0.25
13.71,5.65,2.45,20.5,95,1.68,0.61,0.52,1.06,7.7,0.64,1.74,740,3,0.0143,-0.0421,0.125,0.0015,-0.0015,1.0,0.0538,-0.0169,0.25,0.0140,0.0670,0.125
13.4,3.91,2.48,23.0,102,1.8,0.75,0.43,1.41,7.3,0.7,1.56,750,3,0.1010,0.0110,0.125,-0.0007,0.0003,1.0,0.0505,-0.0191,0.375,0.0144,0.0641,0.375
13.27,4.28,2.26,20.0,120,1.59,0.69,0.43,1.35,10.2,0.59,1.56,835,3,0.0512,-0.0875,0.125,-0.0204,0.0064,1.0,0.0249,-0.0325,0.25,0.0321,0.0472,0.375
13.17,2.59,2.37,20.0,120,1.65,0.68,0.53,1.46,9.3,0.6,1.62,840,3,0.0113,-0.0179,0.125,-0.0216,0.0065,1.0,0.0239,-0.0328,0.25,0.0335,0.0450,0.25
14.13,4.1,2.74,24.5,96,2.05,0.76,0.56,1.35,9.2,0.61,1.6,560,3,-0.0274,-0.0018,0.125,0.0440,-0.0070,0.375,0.1062,0.0333,0.125,-0.0309,0.0254,0.5
